Date,Aysen,Cisnes,Palena,Puelo,Yelcho
1981-07-01,,,,1025.0,
1981-07-02,,,,861.0,
1981-07-03,,,,763.0,
1981-07-04,,,,692.0,
1981-07-05,,,,675.0,
1981-07-06,,,,686.0,
1981-07-07,,,,678.0,
1981-07-08,,,,884.0,
1981-07-09,,,,937.0,
1981-07-10,,,,993.0,
1981-07-11,,,,1004.0,
1981-07-12,,,,884.0,
1981-07-13,,,,935.0,
1981-07-14,,,,959.0,
1981-07-15,,,,845.0,
1981-07-16,,,,759.0,
1981-07-17,,,,684.0,
1981-07-18,,,,627.0,
1981-07-19,,,,581.0,
1981-07-20,,,,541.0,
1981-07-21,,,,511.0,
1981-07-22,,,,477.0,
1981-07-23,,,,449.0,
1981-07-24,,,,429.0,
1981-07-25,,,,415.0,
1981-07-26,,,,402.0,
1981-07-27,,,,391.0,
1981-07-28,,,,403.0,
1981-07-29,,,,415.0,
1981-07-30,,,,625.0,
1981-07-31,,,,766.0,
1981-08-01,,,,777.0,
1981-08-02,,,,793.0,
1981-08-03,,,,764.0,
1981-08-04,,,,694.0,
1981-08-05,,,,635.0,
1981-08-06,,,,595.0,
1981-08-07,,,,572.0,
1981-08-08,,,,529.0,
1981-08-09,,,,508.0,
1981-08-10,,,,553.0,
1981-08-11,,,,576.0,
1981-08-12,,,,522.0,
1981-08-13,,,,500.0,
1981-08-14,,,,538.0,
1981-08-15,,,,653.0,
1981-08-16,,,,712.0,
1981-08-17,,,,676.0,
1981-08-18,,,,657.0,
1981-08-19,,,,620.0,
1981-08-20,,,,592.0,
1981-08-21,,,,573.0,
1981-08-22,,,,624.0,
1981-08-23,,,,588.0,
1981-08-24,,,,540.0,
1981-08-25,,,,510.0,
1981-08-26,,,,468.0,
1981-08-27,,,,436.0,
1981-08-28,,,,429.0,
1981-08-29,,,,416.0,
1981-08-30,,,,394.0,
1981-08-31,,,,369.0,
1981-09-01,,,,352.0,
1981-09-02,,,,342.0,
1981-09-03,,,,345.0,
1981-09-04,,,,377.0,
1981-09-05,,,,683.0,
1981-09-06,,,,1060.0,
1981-09-07,,,,1413.0,
1981-09-08,,,,1163.0,
1981-09-09,,,,1033.0,
1981-09-10,,,,932.0,
1981-09-11,,,,845.0,
1981-09-12,,,,749.0,
1981-09-13,,,,678.0,
1981-09-14,,,,615.0,
1981-09-15,,,,593.0,
1981-09-16,,,,664.0,
1981-09-17,,,,671.0,
1981-09-18,,,,662.0,
1981-09-19,,,,639.0,
1981-09-20,,,,593.0,
1981-09-21,,,,552.0,
1981-09-22,,,,518.0,
1981-09-23,,,,498.0,
1981-09-24,,,,508.0,
1981-09-25,,,,574.0,
1981-09-26,,,,631.0,
